time,price
2026-03-08T04:15:00+00:00,1.35
2026-03-08T04:15:01+00:00,1.35
2026-03-08T04:15:02+00:00,1.35
2026-03-08T04:15:03+00:00,1.35
2026-03-08T04:15:04+00:00,1.35
2026-03-08T04:15:05+00:00,1.35
2026-03-08T04:15:06+00:00,1.35
2026-03-08T04:15:07+00:00,1.35
2026-03-08T04:15:09+00:00,1.35
2026-03-08T04:15:12+00:00,1.35
2026-03-08T04:15:13+00:00,1.35
2026-03-08T04:15:14+00:00,1.35
2026-03-08T04:15:16+00:00,1.35
2026-03-08T04:15:17+00:00,1.35
2026-03-08T04:15:18+00:00,1.35
2026-03-08T04:15:20+00:00,1.35
2026-03-08T04:15:21+00:00,1.35
2026-03-08T04:15:22+00:00,1.35
2026-03-08T04:15:23+00:00,1.35
2026-03-08T04:15:24+00:00,1.35
2026-03-08T04:15:25+00:00,1.35
2026-03-08T04:15:27+00:00,1.35
2026-03-08T04:15:28+00:00,1.35
2026-03-08T04:15:29+00:00,1.35
2026-03-08T04:15:30+00:00,1.35
2026-03-08T04:15:31+00:00,1.35
2026-03-08T04:15:34+00:00,1.35
2026-03-08T04:15:35+00:00,1.35
2026-03-08T04:15:41+00:00,1.35
2026-03-08T04:15:42+00:00,1.35
2026-03-08T04:15:44+00:00,1.35
2026-03-08T04:15:46+00:00,1.35
2026-03-08T04:15:47+00:00,1.35
2026-03-08T04:15:48+00:00,1.35
2026-03-08T04:15:50+00:00,1.35
2026-03-08T04:15:54+00:00,1.35
2026-03-08T04:15:55+00:00,1.35
2026-03-08T04:15:56+00:00,1.35
2026-03-08T04:15:57+00:00,1.35
2026-03-08T04:15:59+00:00,1.35
2026-03-08T04:16:00+00:00,1.35
2026-03-08T04:16:02+00:00,1.35
2026-03-08T04:16:03+00:00,1.35
2026-03-08T04:16:05+00:00,1.35
2026-03-08T04:16:07+00:00,1.35
2026-03-08T04:16:09+00:00,1.35
2026-03-08T04:16:10+00:00,1.35
2026-03-08T04:16:11+00:00,1.35
2026-03-08T04:16:12+00:00,1.35
2026-03-08T04:16:14+00:00,1.35
2026-03-08T04:16:16+00:00,1.35
2026-03-08T04:16:18+00:00,1.35
2026-03-08T04:16:19+00:00,1.35
2026-03-08T04:16:20+00:00,1.35
2026-03-08T04:16:21+00:00,1.35
2026-03-08T04:16:22+00:00,1.35
2026-03-08T04:16:28+00:00,1.35
2026-03-08T04:16:29+00:00,1.35
2026-03-08T04:16:32+00:00,1.35
2026-03-08T04:16:33+00:00,1.35
2026-03-08T04:16:34+00:00,1.35
2026-03-08T04:16:38+00:00,1.35
2026-03-08T04:16:41+00:00,1.35
2026-03-08T04:16:43+00:00,1.35
2026-03-08T04:16:44+00:00,1.35
2026-03-08T04:16:46+00:00,1.35
2026-03-08T04:16:47+00:00,1.35
2026-03-08T04:16:48+00:00,1.35
2026-03-08T04:16:49+00:00,1.35
2026-03-08T04:16:51+00:00,1.35
2026-03-08T04:16:53+00:00,1.35
2026-03-08T04:16:54+00:00,1.35
2026-03-08T04:16:55+00:00,1.35
2026-03-08T04:16:56+00:00,1.35
2026-03-08T04:16:59+00:00,1.35
2026-03-08T04:17:01+00:00,1.35
2026-03-08T04:17:02+00:00,1.35
2026-03-08T04:17:04+00:00,1.35
2026-03-08T04:17:05+00:00,1.35
2026-03-08T04:17:08+00:00,1.35
2026-03-08T04:17:09+00:00,1.35
2026-03-08T04:17:10+00:00,1.35
2026-03-08T04:17:11+00:00,1.35
2026-03-08T04:17:17+00:00,1.35
2026-03-08T04:17:18+00:00,1.35
2026-03-08T04:17:20+00:00,1.35
2026-03-08T04:17:22+00:00,1.35
2026-03-08T04:17:24+00:00,1.35
2026-03-08T04:17:27+00:00,1.35
2026-03-08T04:17:29+00:00,1.35
2026-03-08T04:17:30+00:00,1.35
2026-03-08T04:17:31+00:00,1.35
2026-03-08T04:17:34+00:00,1.35
2026-03-08T04:17:40+00:00,1.35
2026-03-08T04:17:41+00:00,1.35
2026-03-08T04:17:42+00:00,1.35
2026-03-08T04:17:44+00:00,1.35
2026-03-08T04:17:46+00:00,1.35
2026-03-08T04:17:48+00:00,1.35
2026-03-08T04:17:51+00:00,1.35
2026-03-08T04:17:54+00:00,1.35
2026-03-08T04:17:56+00:00,1.35
2026-03-08T04:18:00+00:00,1.35
