time,price
2026-03-03T20:45:00+00:00,1.36
2026-03-03T20:45:02+00:00,1.36
2026-03-03T20:45:03+00:00,1.36
2026-03-03T20:45:04+00:00,1.36
2026-03-03T20:45:05+00:00,1.36
2026-03-03T20:45:06+00:00,1.36
2026-03-03T20:45:07+00:00,1.36
2026-03-03T20:45:09+00:00,1.36
2026-03-03T20:45:10+00:00,1.36
2026-03-03T20:45:11+00:00,1.36
2026-03-03T20:45:12+00:00,1.36
2026-03-03T20:45:13+00:00,1.36
2026-03-03T20:45:14+00:00,1.36
2026-03-03T20:45:15+00:00,1.36
2026-03-03T20:45:16+00:00,1.36
2026-03-03T20:45:17+00:00,1.36
2026-03-03T20:45:18+00:00,1.36
2026-03-03T20:45:19+00:00,1.36
2026-03-03T20:45:21+00:00,1.36
2026-03-03T20:45:22+00:00,1.36
2026-03-03T20:45:23+00:00,1.36
2026-03-03T20:45:24+00:00,1.36
2026-03-03T20:45:25+00:00,1.36
2026-03-03T20:45:26+00:00,1.36
2026-03-03T20:45:27+00:00,1.36
2026-03-03T20:45:28+00:00,1.36
2026-03-03T20:45:29+00:00,1.36
2026-03-03T20:45:31+00:00,1.36
2026-03-03T20:45:33+00:00,1.36
2026-03-03T20:45:34+00:00,1.36
2026-03-03T20:45:35+00:00,1.36
2026-03-03T20:45:37+00:00,1.36
2026-03-03T20:45:38+00:00,1.36
2026-03-03T20:45:39+00:00,1.36
2026-03-03T20:45:40+00:00,1.36
2026-03-03T20:45:41+00:00,1.36
2026-03-03T20:45:42+00:00,1.36
2026-03-03T20:45:44+00:00,1.36
2026-03-03T20:45:45+00:00,1.36
2026-03-03T20:45:46+00:00,1.36
2026-03-03T20:45:47+00:00,1.36
2026-03-03T20:45:49+00:00,1.36
2026-03-03T20:45:50+00:00,1.36
2026-03-03T20:45:51+00:00,1.36
2026-03-03T20:45:52+00:00,1.36
2026-03-03T20:45:53+00:00,1.36
2026-03-03T20:45:54+00:00,1.36
2026-03-03T20:45:55+00:00,1.36
2026-03-03T20:45:56+00:00,1.36
2026-03-03T20:45:58+00:00,1.36
2026-03-03T20:45:59+00:00,1.36
2026-03-03T20:46:01+00:00,1.36
2026-03-03T20:46:02+00:00,1.36
2026-03-03T20:46:03+00:00,1.36
2026-03-03T20:46:04+00:00,1.36
2026-03-03T20:46:05+00:00,1.36
2026-03-03T20:46:07+00:00,1.36
2026-03-03T20:46:08+00:00,1.36
2026-03-03T20:46:09+00:00,1.36
2026-03-03T20:46:10+00:00,1.36
2026-03-03T20:46:11+00:00,1.36
2026-03-03T20:46:12+00:00,1.36
2026-03-03T20:46:13+00:00,1.36
2026-03-03T20:46:14+00:00,1.36
2026-03-03T20:46:15+00:00,1.36
2026-03-03T20:46:16+00:00,1.36
2026-03-03T20:46:18+00:00,1.36
2026-03-03T20:46:19+00:00,1.36
2026-03-03T20:46:20+00:00,1.36
2026-03-03T20:46:21+00:00,1.36
2026-03-03T20:46:22+00:00,1.36
2026-03-03T20:46:23+00:00,1.36
2026-03-03T20:46:24+00:00,1.36
2026-03-03T20:46:25+00:00,1.36
2026-03-03T20:46:26+00:00,1.36
2026-03-03T20:46:27+00:00,1.36
2026-03-03T20:46:28+00:00,1.36
2026-03-03T20:46:29+00:00,1.36
2026-03-03T20:46:31+00:00,1.36
2026-03-03T20:46:32+00:00,1.36
2026-03-03T20:46:33+00:00,1.36
2026-03-03T20:46:34+00:00,1.36
2026-03-03T20:46:35+00:00,1.36
2026-03-03T20:46:36+00:00,1.36
2026-03-03T20:46:38+00:00,1.36
2026-03-03T20:46:39+00:00,1.36
2026-03-03T20:46:41+00:00,1.36
2026-03-03T20:46:42+00:00,1.36
2026-03-03T20:46:43+00:00,1.36
2026-03-03T20:46:44+00:00,1.36
2026-03-03T20:46:45+00:00,1.36
2026-03-03T20:46:46+00:00,1.36
2026-03-03T20:46:47+00:00,1.36
2026-03-03T20:46:48+00:00,1.36
2026-03-03T20:46:50+00:00,1.36
2026-03-03T20:46:51+00:00,1.36
2026-03-03T20:46:52+00:00,1.36
2026-03-03T20:46:54+00:00,1.36
2026-03-03T20:46:56+00:00,1.36
2026-03-03T20:46:57+00:00,1.36
2026-03-03T20:46:58+00:00,1.36
2026-03-03T20:46:59+00:00,1.36
2026-03-03T20:47:00+00:00,1.36
2026-03-03T20:47:01+00:00,1.36
2026-03-03T20:47:02+00:00,1.36
2026-03-03T20:47:03+00:00,1.36
2026-03-03T20:47:04+00:00,1.36
2026-03-03T20:47:05+00:00,1.36
2026-03-03T20:47:06+00:00,1.36
2026-03-03T20:47:07+00:00,1.36
2026-03-03T20:47:08+00:00,1.36
2026-03-03T20:47:10+00:00,1.36
2026-03-03T20:47:11+00:00,1.36
2026-03-03T20:47:12+00:00,1.36
2026-03-03T20:47:13+00:00,1.36
2026-03-03T20:47:14+00:00,1.36
2026-03-03T20:47:15+00:00,1.36
2026-03-03T20:47:16+00:00,1.36
2026-03-03T20:47:17+00:00,1.36
2026-03-03T20:47:18+00:00,1.36
2026-03-03T20:47:19+00:00,1.36
2026-03-03T20:47:20+00:00,1.36
2026-03-03T20:47:21+00:00,1.36
2026-03-03T20:47:22+00:00,1.36
2026-03-03T20:47:23+00:00,1.36
