time,price
2026-03-08T09:00:00+00:00,1.36
2026-03-08T09:00:01+00:00,1.36
2026-03-08T09:00:02+00:00,1.36
2026-03-08T09:00:03+00:00,1.36
2026-03-08T09:00:04+00:00,1.36
2026-03-08T09:00:05+00:00,1.36
2026-03-08T09:00:07+00:00,1.36
2026-03-08T09:00:08+00:00,1.36
2026-03-08T09:00:09+00:00,1.36
2026-03-08T09:00:10+00:00,1.36
2026-03-08T09:00:11+00:00,1.36
2026-03-08T09:00:13+00:00,1.36
2026-03-08T09:00:14+00:00,1.36
2026-03-08T09:00:15+00:00,1.36
2026-03-08T09:00:16+00:00,1.36
2026-03-08T09:00:17+00:00,1.36
2026-03-08T09:00:18+00:00,1.36
2026-03-08T09:00:19+00:00,1.36
2026-03-08T09:00:20+00:00,1.36
2026-03-08T09:00:22+00:00,1.36
2026-03-08T09:00:23+00:00,1.36
2026-03-08T09:00:24+00:00,1.36
2026-03-08T09:00:25+00:00,1.36
2026-03-08T09:00:28+00:00,1.36
2026-03-08T09:00:32+00:00,1.36
2026-03-08T09:00:33+00:00,1.36
2026-03-08T09:00:34+00:00,1.36
2026-03-08T09:00:35+00:00,1.36
2026-03-08T09:00:36+00:00,1.36
2026-03-08T09:00:37+00:00,1.36
2026-03-08T09:00:39+00:00,1.36
2026-03-08T09:00:40+00:00,1.36
2026-03-08T09:00:41+00:00,1.36
2026-03-08T09:00:42+00:00,1.36
2026-03-08T09:00:43+00:00,1.36
2026-03-08T09:00:44+00:00,1.36
2026-03-08T09:00:45+00:00,1.36
2026-03-08T09:00:46+00:00,1.36
2026-03-08T09:00:49+00:00,1.36
2026-03-08T09:00:50+00:00,1.36
2026-03-08T09:00:51+00:00,1.36
2026-03-08T09:00:53+00:00,1.36
2026-03-08T09:00:54+00:00,1.36
2026-03-08T09:00:56+00:00,1.36
2026-03-08T09:00:57+00:00,1.36
2026-03-08T09:00:58+00:00,1.36
2026-03-08T09:01:00+00:00,1.36
2026-03-08T09:01:01+00:00,1.36
2026-03-08T09:01:03+00:00,1.36
2026-03-08T09:01:05+00:00,1.36
2026-03-08T09:01:07+00:00,1.36
2026-03-08T09:01:10+00:00,1.36
2026-03-08T09:01:11+00:00,1.36
