time,price
2026-02-28T03:45:00+00:00,1.35
2026-02-28T03:45:01+00:00,1.35
2026-02-28T03:45:02+00:00,1.35
2026-02-28T03:45:03+00:00,1.36
2026-02-28T03:45:05+00:00,1.35
2026-02-28T03:45:07+00:00,1.35
2026-02-28T03:45:09+00:00,1.36
2026-02-28T03:45:10+00:00,1.36
2026-02-28T03:45:12+00:00,1.36
2026-02-28T03:45:14+00:00,1.36
2026-02-28T03:45:15+00:00,1.36
2026-02-28T03:45:17+00:00,1.36
2026-02-28T03:45:18+00:00,1.36
2026-02-28T03:45:19+00:00,1.36
2026-02-28T03:45:20+00:00,1.36
2026-02-28T03:45:21+00:00,1.36
2026-02-28T03:45:23+00:00,1.36
2026-02-28T03:45:24+00:00,1.36
2026-02-28T03:45:25+00:00,1.36
2026-02-28T03:45:26+00:00,1.36
2026-02-28T03:45:27+00:00,1.36
2026-02-28T03:45:28+00:00,1.36
2026-02-28T03:45:29+00:00,1.36
2026-02-28T03:45:30+00:00,1.36
2026-02-28T03:45:31+00:00,1.36
2026-02-28T03:45:32+00:00,1.36
2026-02-28T03:45:33+00:00,1.36
2026-02-28T03:45:34+00:00,1.36
2026-02-28T03:45:35+00:00,1.36
2026-02-28T03:45:36+00:00,1.36
2026-02-28T03:45:37+00:00,1.36
2026-02-28T03:45:38+00:00,1.36
2026-02-28T03:45:39+00:00,1.36
2026-02-28T03:45:42+00:00,1.36
2026-02-28T03:45:43+00:00,1.36
2026-02-28T03:45:45+00:00,1.36
2026-02-28T03:45:47+00:00,1.36
2026-02-28T03:45:48+00:00,1.36
2026-02-28T03:45:49+00:00,1.36
2026-02-28T03:45:51+00:00,1.36
2026-02-28T03:45:53+00:00,1.36
2026-02-28T03:45:54+00:00,1.36
2026-02-28T03:45:55+00:00,1.36
2026-02-28T03:45:57+00:00,1.36
2026-02-28T03:45:58+00:00,1.36
2026-02-28T03:45:59+00:00,1.36
2026-02-28T03:46:00+00:00,1.36
2026-02-28T03:46:01+00:00,1.36
2026-02-28T03:46:02+00:00,1.36
2026-02-28T03:46:03+00:00,1.36
2026-02-28T03:46:05+00:00,1.36
2026-02-28T03:46:06+00:00,1.36
2026-02-28T03:46:07+00:00,1.36
2026-02-28T03:46:10+00:00,1.36
2026-02-28T03:46:11+00:00,1.36
2026-02-28T03:46:12+00:00,1.36
2026-02-28T03:46:13+00:00,1.36
2026-02-28T03:46:14+00:00,1.36
2026-02-28T03:46:15+00:00,1.36
2026-02-28T03:46:16+00:00,1.36
2026-02-28T03:46:18+00:00,1.36
2026-02-28T03:46:19+00:00,1.36
2026-02-28T03:46:21+00:00,1.36
2026-02-28T03:46:22+00:00,1.36
2026-02-28T03:46:23+00:00,1.36
2026-02-28T03:46:24+00:00,1.36
2026-02-28T03:46:27+00:00,1.36
2026-02-28T03:46:28+00:00,1.36
2026-02-28T03:46:30+00:00,1.36
2026-02-28T03:46:32+00:00,1.36
2026-02-28T03:46:33+00:00,1.36
2026-02-28T03:46:34+00:00,1.36
2026-02-28T03:46:36+00:00,1.36
2026-02-28T03:46:37+00:00,1.36
2026-02-28T03:46:38+00:00,1.36
2026-02-28T03:46:39+00:00,1.36
2026-02-28T03:46:40+00:00,1.36
2026-02-28T03:46:41+00:00,1.36
2026-02-28T03:46:44+00:00,1.36
2026-02-28T03:46:45+00:00,1.36
2026-02-28T03:46:46+00:00,1.36
2026-02-28T03:46:47+00:00,1.36
2026-02-28T03:46:48+00:00,1.36
2026-02-28T03:46:50+00:00,1.36
2026-02-28T03:46:51+00:00,1.36
2026-02-28T03:46:52+00:00,1.36
2026-02-28T03:46:54+00:00,1.36
2026-02-28T03:46:56+00:00,1.36
2026-02-28T03:46:58+00:00,1.36
2026-02-28T03:46:59+00:00,1.36
2026-02-28T03:47:02+00:00,1.36
