time,price
2026-02-27T09:05:16+00:00,67891.39
2026-02-27T09:05:17+00:00,67890.14
2026-02-27T09:05:18+00:00,67889.7
2026-02-27T09:05:19+00:00,67884.37
2026-02-27T09:05:20+00:00,67888.93
2026-02-27T09:05:21+00:00,67890.11
2026-02-27T09:05:22+00:00,67893.3
2026-02-27T09:05:23+00:00,67898.13
2026-02-27T09:05:24+00:00,67898.12
2026-02-27T09:05:25+00:00,67904.97
2026-02-27T09:05:26+00:00,67904.96
2026-02-27T09:05:27+00:00,67904.97
2026-02-27T09:05:28+00:00,67893.78
2026-02-27T09:05:29+00:00,67904.96
2026-02-27T09:05:30+00:00,67899.15
2026-02-27T09:05:31+00:00,67899.15
2026-02-27T09:05:32+00:00,67899.15
2026-02-27T09:05:33+00:00,67899.14
2026-02-27T09:05:34+00:00,67906.0
2026-02-27T09:05:35+00:00,67910.4
2026-02-27T09:05:36+00:00,67903.46
2026-02-27T09:05:37+00:00,67903.46
2026-02-27T09:05:38+00:00,67903.45
2026-02-27T09:05:39+00:00,67896.46
2026-02-27T09:05:40+00:00,67901.5
2026-02-27T09:05:41+00:00,67901.5
2026-02-27T09:05:42+00:00,67896.48
2026-02-27T09:05:43+00:00,67896.49
2026-02-27T09:05:44+00:00,67903.1
2026-02-27T09:05:45+00:00,67923.49
2026-02-27T09:05:46+00:00,67923.5
2026-02-27T09:05:47+00:00,67923.49
2026-02-27T09:05:48+00:00,67923.49
2026-02-27T09:05:49+00:00,67923.5
2026-02-27T09:05:50+00:00,67923.5
2026-02-27T09:05:51+00:00,67923.49
2026-02-27T09:05:52+00:00,67923.5
2026-02-27T09:05:53+00:00,67923.5
2026-02-27T09:05:54+00:00,67923.49
2026-02-27T09:05:55+00:00,67932.36
2026-02-27T09:05:56+00:00,67923.53
2026-02-27T09:05:57+00:00,67923.52
2026-02-27T09:05:58+00:00,67910.62
2026-02-27T09:05:59+00:00,67891.44
2026-02-27T09:06:00+00:00,67884.49
2026-02-27T09:06:01+00:00,67881.93
2026-02-27T09:06:02+00:00,67881.93
2026-02-27T09:06:03+00:00,67885.9
2026-02-27T09:06:04+00:00,67885.9
2026-02-27T09:06:05+00:00,67879.99
2026-02-27T09:06:06+00:00,67879.99
2026-02-27T09:06:07+00:00,67879.99
2026-02-27T09:06:08+00:00,67890.45
2026-02-27T09:06:09+00:00,67890.44
2026-02-27T09:06:10+00:00,67892.39
2026-02-27T09:06:11+00:00,67896.18
2026-02-27T09:06:12+00:00,67896.3
2026-02-27T09:06:13+00:00,67913.31
2026-02-27T09:06:14+00:00,67913.3
2026-02-27T09:06:15+00:00,67913.31
2026-02-27T09:06:16+00:00,67908.54
2026-02-27T09:06:17+00:00,67897.34
2026-02-27T09:06:18+00:00,67897.34
2026-02-27T09:06:19+00:00,67893.41
2026-02-27T09:06:20+00:00,67893.41
2026-02-27T09:06:21+00:00,67893.4
2026-02-27T09:06:22+00:00,67885.57
2026-02-27T09:06:23+00:00,67885.57
2026-02-27T09:06:24+00:00,67896.3
2026-02-27T09:06:25+00:00,67896.3
2026-02-27T09:06:26+00:00,67896.3
2026-02-27T09:06:27+00:00,67896.29
2026-02-27T09:06:28+00:00,67907.35
2026-02-27T09:06:29+00:00,67896.31
2026-02-27T09:06:30+00:00,67896.31
2026-02-27T09:06:31+00:00,67896.3
2026-02-27T09:06:32+00:00,67896.3
2026-02-27T09:06:33+00:00,67891.4
2026-02-27T09:06:34+00:00,67891.4
2026-02-27T09:06:35+00:00,67891.39
2026-02-27T09:06:36+00:00,67891.39
2026-02-27T09:06:37+00:00,67891.39
2026-02-27T09:06:38+00:00,67891.39
2026-02-27T09:06:39+00:00,67889.87
2026-02-27T09:06:40+00:00,67889.88
2026-02-27T09:06:41+00:00,67889.87
2026-02-27T09:06:42+00:00,67885.56
2026-02-27T09:06:43+00:00,67898.18
2026-02-27T09:06:44+00:00,67898.18
2026-02-27T09:06:45+00:00,67904.79
2026-02-27T09:06:46+00:00,67900.67
2026-02-27T09:06:47+00:00,67907.68
2026-02-27T09:06:48+00:00,67907.69
2026-02-27T09:06:49+00:00,67907.68
2026-02-27T09:06:50+00:00,67896.07
2026-02-27T09:06:51+00:00,67897.92
2026-02-27T09:06:52+00:00,67897.91
2026-02-27T09:06:53+00:00,67897.92
2026-02-27T09:06:54+00:00,67890.01
2026-02-27T09:06:55+00:00,67890.01
2026-02-27T09:06:56+00:00,67890.01
2026-02-27T09:06:57+00:00,67890.0
2026-02-27T09:06:58+00:00,67890.01
2026-02-27T09:06:59+00:00,67890.01
2026-02-27T09:07:00+00:00,67890.01
2026-02-27T09:07:01+00:00,67890.01
2026-02-27T09:07:02+00:00,67890.0
2026-02-27T09:07:03+00:00,67890.0
2026-02-27T09:07:04+00:00,67903.55
2026-02-27T09:07:05+00:00,67907.69
2026-02-27T09:07:06+00:00,67907.69
2026-02-27T09:07:07+00:00,67899.29
2026-02-27T09:07:08+00:00,67899.29
2026-02-27T09:07:09+00:00,67899.3
2026-02-27T09:07:10+00:00,67899.3
2026-02-27T09:07:11+00:00,67893.43
2026-02-27T09:07:12+00:00,67917.77
2026-02-27T09:07:13+00:00,67917.77
2026-02-27T09:07:14+00:00,67917.76
2026-02-27T09:07:15+00:00,67917.77
2026-02-27T09:07:16+00:00,67917.76
2026-02-27T09:07:17+00:00,67926.79
2026-02-27T09:07:18+00:00,67926.8
2026-02-27T09:07:19+00:00,67922.09
2026-02-27T09:07:20+00:00,67922.09
2026-02-27T09:07:21+00:00,67922.1
2026-02-27T09:07:22+00:00,67922.1
2026-02-27T09:07:23+00:00,67922.09
2026-02-27T09:07:24+00:00,67896.31
2026-02-27T09:07:25+00:00,67902.87
2026-02-27T09:07:26+00:00,67902.86
2026-02-27T09:07:27+00:00,67902.87
2026-02-27T09:07:28+00:00,67902.86
2026-02-27T09:07:29+00:00,67902.86
2026-02-27T09:07:30+00:00,67907.16
2026-02-27T09:07:31+00:00,67913.3
2026-02-27T09:07:32+00:00,67923.4
2026-02-27T09:07:33+00:00,67929.99
2026-02-27T09:07:34+00:00,67930.0
2026-02-27T09:07:35+00:00,67930.0
2026-02-27T09:07:36+00:00,67929.99
2026-02-27T09:07:37+00:00,67928.1
2026-02-27T09:07:38+00:00,67920.43
2026-02-27T09:07:39+00:00,67920.44
2026-02-27T09:07:40+00:00,67920.44
2026-02-27T09:07:41+00:00,67920.44
2026-02-27T09:07:42+00:00,67920.44
2026-02-27T09:07:43+00:00,67923.35
2026-02-27T09:07:44+00:00,67923.36
2026-02-27T09:07:45+00:00,67923.35
2026-02-27T09:07:46+00:00,67923.35
2026-02-27T09:07:47+00:00,67923.35
2026-02-27T09:07:48+00:00,67916.7
2026-02-27T09:07:49+00:00,67916.71
2026-02-27T09:07:50+00:00,67916.71
2026-02-27T09:07:51+00:00,67916.7
2026-02-27T09:07:52+00:00,67923.36
2026-02-27T09:07:53+00:00,67928.79
2026-02-27T09:07:54+00:00,67925.2
2026-02-27T09:07:55+00:00,67925.2
2026-02-27T09:07:56+00:00,67928.79
2026-02-27T09:07:57+00:00,67928.78
2026-02-27T09:07:58+00:00,67928.78
2026-02-27T09:07:59+00:00,67928.78
2026-02-27T09:08:00+00:00,67928.79
2026-02-27T09:08:01+00:00,67928.78
2026-02-27T09:08:02+00:00,67941.63
2026-02-27T09:08:03+00:00,67934.44
2026-02-27T09:08:04+00:00,67934.43
2026-02-27T09:08:05+00:00,67934.44
2026-02-27T09:08:06+00:00,67934.44
2026-02-27T09:08:07+00:00,67941.92
2026-02-27T09:08:08+00:00,67941.91
2026-02-27T09:08:09+00:00,67933.07
2026-02-27T09:08:10+00:00,67941.24
2026-02-27T09:08:11+00:00,67940.51
2026-02-27T09:08:12+00:00,67941.25
2026-02-27T09:08:13+00:00,67941.25
2026-02-27T09:08:14+00:00,67941.25
2026-02-27T09:08:15+00:00,67937.64
2026-02-27T09:08:16+00:00,67929.25
2026-02-27T09:08:17+00:00,67935.04
2026-02-27T09:08:18+00:00,67935.05
2026-02-27T09:08:19+00:00,67942.2
2026-02-27T09:08:20+00:00,67941.26
2026-02-27T09:08:21+00:00,67941.25
2026-02-27T09:08:22+00:00,67941.25
2026-02-27T09:08:23+00:00,67949.99
2026-02-27T09:08:24+00:00,67949.99
2026-02-27T09:08:25+00:00,67950.0
2026-02-27T09:08:26+00:00,67949.99
2026-02-27T09:08:27+00:00,67957.68
2026-02-27T09:08:28+00:00,67957.69
2026-02-27T09:08:29+00:00,67957.68
2026-02-27T09:08:30+00:00,67957.69
2026-02-27T09:08:31+00:00,67966.07
2026-02-27T09:08:32+00:00,67957.7
2026-02-27T09:08:33+00:00,67973.1
2026-02-27T09:08:34+00:00,67973.1
2026-02-27T09:08:35+00:00,67972.28
2026-02-27T09:08:36+00:00,67972.28
2026-02-27T09:08:37+00:00,67971.03
2026-02-27T09:08:38+00:00,67965.67
2026-02-27T09:08:39+00:00,67965.68
2026-02-27T09:08:40+00:00,67963.93
2026-02-27T09:08:41+00:00,67953.81
2026-02-27T09:08:42+00:00,67953.8
2026-02-27T09:08:43+00:00,67953.8
2026-02-27T09:08:44+00:00,67953.8
2026-02-27T09:08:45+00:00,67953.81
2026-02-27T09:08:46+00:00,67958.3
2026-02-27T09:08:47+00:00,67961.83
2026-02-27T09:08:48+00:00,67963.92
2026-02-27T09:08:49+00:00,67963.92
2026-02-27T09:08:50+00:00,67963.93
2026-02-27T09:08:51+00:00,67963.92
2026-02-27T09:08:52+00:00,67963.92
2026-02-27T09:08:53+00:00,67954.53
2026-02-27T09:08:54+00:00,67954.53
2026-02-27T09:08:55+00:00,67954.54
2026-02-27T09:08:56+00:00,67954.53
2026-02-27T09:08:57+00:00,67954.54
2026-02-27T09:08:58+00:00,67954.53
2026-02-27T09:08:59+00:00,67954.54
2026-02-27T09:09:00+00:00,67954.54
2026-02-27T09:09:01+00:00,67954.53
2026-02-27T09:09:02+00:00,67947.42
2026-02-27T09:09:03+00:00,67939.71
2026-02-27T09:09:04+00:00,67939.71
2026-02-27T09:09:05+00:00,67939.72
2026-02-27T09:09:06+00:00,67939.71
2026-02-27T09:09:07+00:00,67939.72
2026-02-27T09:09:08+00:00,67942.78
2026-02-27T09:09:09+00:00,67950.16
2026-02-27T09:09:10+00:00,67950.15
2026-02-27T09:09:11+00:00,67950.15
2026-02-27T09:09:12+00:00,67959.27
2026-02-27T09:09:13+00:00,67963.9
2026-02-27T09:09:14+00:00,67948.76
2026-02-27T09:09:15+00:00,67947.18
2026-02-27T09:09:16+00:00,67947.17
2026-02-27T09:09:17+00:00,67940.51
2026-02-27T09:09:18+00:00,67948.75
2026-02-27T09:09:19+00:00,67948.75
2026-02-27T09:09:20+00:00,67958.36
2026-02-27T09:09:21+00:00,67963.93
2026-02-27T09:09:22+00:00,67963.92
2026-02-27T09:09:23+00:00,67963.92
2026-02-27T09:09:24+00:00,67966.19
2026-02-27T09:09:25+00:00,67972.96
2026-02-27T09:09:26+00:00,67966.23
2026-02-27T09:09:27+00:00,67964.48
2026-02-27T09:09:28+00:00,67972.86
2026-02-27T09:09:29+00:00,67972.86
2026-02-27T09:09:30+00:00,67972.87
2026-02-27T09:09:31+00:00,67972.86
2026-02-27T09:09:32+00:00,67972.86
2026-02-27T09:09:33+00:00,67972.86
2026-02-27T09:09:34+00:00,67972.87
2026-02-27T09:09:35+00:00,67972.87
2026-02-27T09:09:36+00:00,67972.86
2026-02-27T09:09:37+00:00,67972.86
2026-02-27T09:09:38+00:00,67976.07
2026-02-27T09:09:39+00:00,67976.06
2026-02-27T09:09:40+00:00,67976.07
2026-02-27T09:09:41+00:00,67976.07
2026-02-27T09:09:42+00:00,67976.07
2026-02-27T09:09:43+00:00,67976.06
2026-02-27T09:09:44+00:00,67976.06
2026-02-27T09:09:45+00:00,67976.07
2026-02-27T09:09:46+00:00,67976.06
2026-02-27T09:09:47+00:00,67976.06
2026-02-27T09:09:48+00:00,67976.07
2026-02-27T09:09:49+00:00,67983.39
2026-02-27T09:09:50+00:00,67983.4
2026-02-27T09:09:51+00:00,67983.39
2026-02-27T09:09:52+00:00,67983.4
2026-02-27T09:09:53+00:00,67983.4
2026-02-27T09:09:54+00:00,67983.39
2026-02-27T09:09:55+00:00,67989.16
2026-02-27T09:09:56+00:00,67989.17
2026-02-27T09:09:57+00:00,68008.79
2026-02-27T09:09:58+00:00,68008.77
2026-02-27T09:09:59+00:00,68021.7
2026-02-27T09:10:00+00:00,68021.67
2026-02-27T09:10:01+00:00,68021.67
2026-02-27T09:10:02+00:00,68036.76
2026-02-27T09:10:03+00:00,68025.85
2026-02-27T09:10:04+00:00,68044.31
2026-02-27T09:10:05+00:00,68046.4
2026-02-27T09:10:06+00:00,68046.39
2026-02-27T09:10:07+00:00,68040.95
2026-02-27T09:10:08+00:00,68030.89
2026-02-27T09:10:09+00:00,68025.87
2026-02-27T09:10:10+00:00,68025.86
2026-02-27T09:10:11+00:00,68025.86
2026-02-27T09:10:12+00:00,68025.86
2026-02-27T09:10:13+00:00,67994.63
2026-02-27T09:10:14+00:00,67994.64
2026-02-27T09:10:15+00:00,67994.64
2026-02-27T09:10:16+00:00,67994.63
2026-02-27T09:10:17+00:00,67994.63
2026-02-27T09:10:18+00:00,67994.63
2026-02-27T09:10:19+00:00,67994.64
2026-02-27T09:10:20+00:00,67994.64
2026-02-27T09:10:21+00:00,67994.64
2026-02-27T09:10:22+00:00,67994.64
2026-02-27T09:10:23+00:00,67994.64
2026-02-27T09:10:24+00:00,67994.64
2026-02-27T09:10:25+00:00,67994.64
2026-02-27T09:10:26+00:00,67994.64
2026-02-27T09:10:27+00:00,67994.64
2026-02-27T09:10:28+00:00,67994.64
2026-02-27T09:10:29+00:00,67992.62
2026-02-27T09:10:30+00:00,67983.5
2026-02-27T09:10:31+00:00,67991.4
2026-02-27T09:10:32+00:00,67991.4
2026-02-27T09:10:33+00:00,67983.51
2026-02-27T09:10:34+00:00,67983.53
2026-02-27T09:10:35+00:00,67983.53
